"aktuelle Probe"	"17"
"Einspannlänge"	832.756	"mm"
"Messlänge"	"nicht bekannt"
"Probenbreite b0"	11.4	"mm"
"Probendicke a0"	0.2	"mm"
"Prüfgeschwindigkeit"	150	"mm/min"
"Vorkraft"	0.2	"N"
"Weg nach Bruch"	5	"mm"
"E-Modul"	1127.12	"N/mm²"
"Dehnung bei Fmax"	306.402	"%"
"Dehnung bei Bruch"	309.236	"%"
"obere Streckgrenze"	"nicht bekannt"
"Kraftmaximum"	37.9483	"N/mm²"
"Bruchkraft"	"nicht bekannt"
"Geschwindigkeit E-Modul"	1	"%L0/min"
"Datum"	"20.02.2008"
"Prüfzeit"	"Standardweg"	"Standardkraft"	"Dehnung"	"Traverse abs."
"s"	"mm"	"N"	"%"	"mm"
16.94	1.1155	32.4565	1.39437	786.29
16.95	1.12175	32.5905	1.40219	786.297
16.96	1.12819	32.7196	1.41024	786.303
16.97	1.13475	32.8616	1.41844	786.31
16.98	1.14177	32.9951	1.42721	786.317
16.99	1.14909	33.1203	1.43637	786.324
17	1.1562	33.2553	1.44526	786.331
17.01	1.16327	33.3894	1.45409	786.338
17.02	1.1701	33.5104	1.46263	786.345
17.03	1.1764	33.6445	1.4705	786.351
17.04	1.18251	33.7754	1.47813	786.357
17.05	1.18876	33.8968	1.48595	786.364
17.06	1.19509	34.0302	1.49386	786.37
17.07	1.20163	34.1577	1.50204	786.377
17.08	1.20865	34.2757	1.51081	786.384
17.09	1.21587	34.4049	1.51984	786.391
17.1	1.22297	34.5329	1.52871	786.398
17.11	1.23005	34.652	1.53756	786.405
17.12	1.23685	34.7786	1.54607	786.412
17.13	1.24315	34.9016	1.55394	786.418
17.14	1.24927	35.0173	1.56159	786.424
17.15	1.2555	35.1422	1.56938	786.43
17.16	1.26185	35.2594	1.57732	786.437
17.17	1.26846	35.37	1.58558	786.443
17.18	1.27546	35.4933	1.59432	786.45
17.19	1.28264	35.609	1.6033	786.458
17.2	1.28962	35.7135	1.61202	786.465
17.21	1.29646	35.8296	1.62057	786.471
17.22	1.30306	35.9451	1.62883	786.478
17.23	1.30926	36.047	1.63658	786.484
17.24	1.31538	36.1604	1.64423	786.49
17.25	1.32176	36.2733	1.65221	786.497
17.26	1.32831	36.3756	1.66038	786.503
17.27	1.33498	36.4867	1.66873	786.51
17.28	1.34213	36.5944	1.67766	786.517
17.29	1.3495	36.6932	1.68687	786.524
17.3	1.35669	36.8	1.69587	786.532
17.31	1.36379	36.9046	1.70474	786.539
17.32	1.37061	37.0024	1.71326	786.546
17.33	1.37681	37.1046	1.72101	786.552
17.34	1.38278	37.203	1.72848	786.558
17.35	1.38889	37.2956	1.73611	786.564
17.36	1.39504	37.3962	1.7438	786.57
17.37	1.40142	37.491	1.75177	786.576
17.38	1.40832	37.5821	1.7604	786.583
17.39	1.41545	37.6802	1.76931	786.59
17.4	1.42251	37.7758	1.77814	786.598
17.41	1.42953	37.8642	1.78691	786.605
17.42	1.43638	37.9569	1.79548	786.611
17.43	1.44279	38.0528	1.80349	786.618
17.44	1.44901	38.1421	1.81126	786.624
17.45	1.45539	38.2316	1.81924	786.63
17.46	1.46189	38.3233	1.82736	786.637
17.47	1.46857	38.407	1.83572	786.644
17.48	1.47567	38.4919	1.84459	786.651
17.49	1.48293	38.5794	1.85366	786.658
17.5	1.48998	38.661	1.86247	786.665
17.51	1.49681	38.7415	1.87102	786.672
17.52	1.50339	38.8232	1.87924	786.678
17.53	1.50953	38.8993	1.88691	786.685
17.54	1.51553	38.9804	1.89441	786.691
17.55	1.52176	39.0633	1.90221	786.697
17.56	1.52821	39.1355	1.91026	786.703
17.57	1.53475	39.2178	1.91844	786.71
17.58	1.54177	39.2977	1.92721	786.717
17.59	1.54906	39.3662	1.93632	786.724
17.6	1.55616	39.445	1.9452	786.731
17.61	1.5632	39.5252	1.954	786.738
17.62	1.57002	39.5923	1.96253	786.745
17.63	1.57632	39.6694	1.9704	786.751
17.64	1.58243	39.7435	1.97803	786.757
17.65	1.58868	39.8051	1.98584	786.764
17.66	1.59502	39.8794	1.99378	786.77
17.67	1.60157	39.9493	2.00196	786.777
17.68	1.60861	40.012	2.01077	786.784
17.69	1.61587	40.0808	2.01984	786.791
17.7	1.62299	40.1478	2.02873	786.798
17.71	1.63005	40.2099	2.03756	786.805
17.72	1.63687	40.2777	2.04609	786.812
17.73	1.64318	40.3409	2.05398	786.818
17.74	1.6493	40.399	2.06163	786.824
17.75	1.65554	40.4666	2.06942	786.831
17.76	1.6619	40.5253	2.07738	786.837
17.77	1.66849	40.58	2.08562	786.843
17.78	1.67548	40.6411	2.09434	786.85
17.79	1.68262	40.703	2.10328	786.858
17.8	1.68957	40.7546	2.11196	786.865
17.81	1.69642	40.8121	2.12053	786.871
17.82	1.70308	40.8746	2.12885	786.878
17.83	1.70931	40.9234	2.13664	786.884
17.84	1.71543	40.9815	2.14429	786.89
17.85	1.7218	41.0412	2.15225	786.897
17.86	1.72831	41.0904	2.16038	786.903
17.87	1.73498	41.145	2.16873	786.91
17.88	1.74213	41.2031	2.17766	786.917
17.89	1.7495	41.2496	2.18687	786.924
17.9	1.75671	41.3004	2.19589	786.932
17.91	1.76381	41.3535	2.20476	786.939
17.92	1.77061	41.3969	2.21326	786.946
17.93	1.77678	41.4452	2.22097	786.952
17.94	1.78272	41.4913	2.2284	786.958
17.95	1.78881	41.5298	2.23601	786.964
17.96	1.79499	41.5779	2.24374	786.97
17.97	1.80139	41.6246	2.25173	786.976
17.98	1.80829	41.6624	2.26036	786.983
17.99	1.81542	41.7089	2.26927	786.99
18	1.82248	41.7558	2.2781	786.997
18.01	1.82953	41.7932	2.28691	787.005
18.02	1.83636	41.8357	2.29546	787.011
18.03	1.84279	41.8821	2.30349	787.018
18.04	1.84904	41.921	2.3113	787.024
18.05	1.85541	41.9633	2.31926	787.03
18.06	1.8619	42.0065	2.32738	787.037
18.07	1.86861	42.0412	2.33576	787.044
18.08	1.87569	42.0805	2.34461	787.051
18.09	1.88293	42.1217	2.35366	787.058
18.1	1.88996	42.1538	2.36245	787.065
18.11	1.8968	42.1902	2.371	787.072
18.12	1.90337	42.2298	2.37922	787.078
18.13	1.90953	42.261	2.38691	787.085
18.14	1.91551	42.2974	2.39439	787.091
18.15	1.92176	42.3345	2.40221	787.097
